bulkImportStudents | callable
bulkImportTeachers | callable
bulkUpdateStatus | callable
cleanupExpiredExports | scheduled
cleanupInactiveChats | scheduled
cleanupStaleSessions | scheduled
createOrgUser | callable
dailyCostAggregation | scheduled
deactivateTenant | callable
evaluateAnswer | callable
exportTenantData | callable
extractQuestions | callable
generateInsights | scheduled
generateReport | callable
getSummary | callable
gradeQuestion | callable
importFromBank | callable
joinTenant | callable
listAnnouncements | callable
listQuestionBank | callable
listStoreSpaces | callable
listVersions | callable
manageNotifications | callable
monthlyUsageReset | scheduled
nightlyAtRiskDetection | scheduled
onAnswerSheetUpload | google.cloud.storage.object.v1.finalized
onClassArchived | google.cloud.firestore.document.v1.updated
onClassDeleted | https
onExamDeleted | google.cloud.firestore.document.v1.deleted
onExamPublished | google.cloud.firestore.document.v1.updated
onExamResultsReleased | google.cloud.firestore.document.v1.updated
onProgressMilestone | google.cloud.firestore.document.v1.updated
onQuestionPaperUpload | google.cloud.storage.object.v1.finalized
onQuestionSubmissionUpdatedV2 | google.cloud.firestore.document.v1.updated
onResultsReleased | google.cloud.firestore.document.v1.updated
onSpaceDeleted | google.cloud.firestore.document.v1.deleted
onSpaceProgressUpdated | google.cloud.firestore.document.v1.written
onSpacePublished | google.cloud.firestore.document.v1.updated
onStudentArchived | google.cloud.firestore.document.v1.updated
onStudentDeleted | https
onStudentSummaryUpdated | google.cloud.firestore.document.v1.written
onSubmissionCreated | google.cloud.firestore.document.v1.created
onSubmissionGraded | google.cloud.firestore.document.v1.updated
onSubmissionUpdated | google.cloud.firestore.document.v1.updated
onTenantDeactivated | google.cloud.firestore.document.v1.updated
onTestSessionExpired | scheduled
onUserStoryPointProgressWrite | google.cloud.firestore.document.v1.written
purchaseSpace | callable
reactivateTenant | callable
recordItemAttempt | callable
rolloverSession | callable
saveAcademicSession | callable
saveAnnouncement | callable
saveClass | callable
saveExam | callable
saveGlobalEvaluationPreset | callable
saveItem | callable
saveParent | callable
saveQuestionBankItem | callable
saveRubricPreset | callable
saveSpace | callable
saveSpaceReview | callable
saveStaff | callable
saveStoryPoint | callable
saveStudent | callable
saveTeacher | callable
saveTenant | callable
searchUsers | callable
sendChatMessage | callable
staleSubmissionWatchdog | scheduled
startTestSession | callable
submitTestSession | callable
switchActiveTenant | callable
tenantLifecycleCheck | scheduled
updateLeaderboard | google.cloud.firestore.document.v1.written
uploadAnswerSheets | callable
uploadTenantAsset | callable
v1-analytics-dailyCostAggregation | scheduled
v1-analytics-dismissInsight | callable
v1-analytics-generateInsights | scheduled
v1-analytics-generateReport | callable
v1-analytics-getAssignmentMatrix | callable
v1-analytics-getChildSummary | callable
v1-analytics-getCostSummary | callable
v1-analytics-getExamAnalytics | callable
v1-analytics-getLeaderboard | callable
v1-analytics-getPerformanceTrends | callable
v1-analytics-getSummary | callable
v1-analytics-listInsights | callable
v1-analytics-listLinkedChildren | callable
v1-analytics-listParentAlerts | callable
v1-analytics-listPlatformActivity | callable
v1-analytics-nightlyAtRiskDetection | scheduled
v1-analytics-onExamResultsReleased | google.cloud.firestore.document.v1.updated
